,Pos.,Giocatore,Price,Overall
520,521,Chris Smalling\b6964eb6,26.0,normal
521,522,Roberto Soriano\9d4c45d6,1.0,bad
522,523,Riccardo Sottil\94816803,5.0,bad
523,524,Adama Soumaoro\7b075c75,2.0,bad
524,525,Nikolas Špalek\9e90fb5d,5.0,bad
525,526,Leonardo Spinazzola\3626daea,21.0,normal
526,527,Marco Sportiello\ac4003af,7.0,normal
527,528,Mattia Sprocati\bdd0692f,5.0,bad
528,529,Mariusz Stępiński\7b536033,2.0,bad
529,530,Thomas Strakosha\339fe0e8,16.0,normal
530,531,Gabriel Strefezza\674cfc5a,2.0,bad
531,532,Jens Stryger Larsen\f91e81c9,1.0,bad
532,533,Stefano Sturaro\2334478a,26.0,normal
533,534,Suso\4e219ad2,23.0,bad
534,535,Bosko Sutalo\1d0bb7e4,3.0,bad
535,536,Mattias Svanberg\92d83c27,4.0,bad
536,537,Wojciech Szczęsny\01b8a2b2,21.0,top
537,538,Andrea Tabanelli\b59e02da,3.0,bad
538,539,Panagiotis Tachtsidis\e26bd2f4,4.0,bad
539,540,Adrien Tameze\8da74c05,1.0,bad
540,541,Łukasz Teodorczyk\7e81a17d,1.0,bad
541,542,Hidde ter Avest\18f9dbd0,1.0,bad
542,543,Pietro Terracciano\e1b0a70d,2.0,bad
543,544,Aleksa Terzić\3ef0a2d7,1.0,bad
544,545,Demba Thiam\0f47717b,5.0,normal
545,546,Morten Thorsby\d1b49282,1.0,bad
546,547,Jeremy Toljan\a96e5dc0,1.0,bad
547,548,Rafael Tolói\c56dc39e,10.0,normal
548,549,Takehiro Tomiyasu\b3af9be1,1.0,bad
549,550,Nenad Tomović\6aafdc27,1.0,bad
550,551,Sandro Tonali\0db169ae,21.0,normal
551,552,Lorenzo Tonelli\8cc29864,1.0,bad
552,553,Ernesto Torregrossa\bf39bdec,4.0,bad
553,554,Luca Tremolada\ed65da8c,10.0,normal
554,555,Alessandro Tripaldelli\4571fa88,1.0,bad
555,556,William Troost-Ekong\7ed4921e,1.0,bad
556,557,Georgi Tunjov\7aa84ac5,1.0,bad
557,558,Stefano Turati\bf168004,6.0,normal
558,559,Gennaro Tutino\8b303bcb,4.0,bad
559,560,Samir Ujkani\96640846,2.0,bad
560,561,Cengiz Ünder\1880614f,16.0,normal
561,562,Mirko Valdifiori\c710f7d5,6.0,normal
562,563,Borja Valero\0e21fc3c,21.0,top
563,564,Mattia Valoti\c414df9d,11.0,normal
564,565,Denis Vavro\08990838,1.0,bad
565,566,Matías Vecino\44ac04e9,9.0,bad
566,567,Miguel Veloso\ab1ca213,6.0,bad
567,568,Lorenzo Venuti\983ff2c7,1.0,bad
568,569,Brayan Vera\80c718dd,5.0,bad
569,570,Simone Verdi\0375723e,24.0,normal
570,571,Jordan Veretout\4a56052c,20.0,normal
571,572,Valerio Verre\33ecf462,4.0,bad
572,573,Francesco Vicari\de045b15,1.0,bad
573,574,Ronaldo Vieira\75e60d75,1.0,bad
574,575,Mauro Vigorito\582a251c,1.0,bad
575,576,Gonzalo Villar\bdc74a8f,1.0,bad
576,577,Luigi Vitale\fe479e17,1.0,bad
577,578,Mattia Viviani\360b2bb1,15.0,normal
578,579,Dušan Vlahović\79443529,27.0,normal
579,580,Stefan de Vrij\d0d8dd44,30.0,top
580,581,Giacomo Vrioni\bf4d31d3,1.0,bad
581,582,Walace\26db8853,5.0,bad
582,583,Sebastian Walukiewicz\217875a4,1.0,bad
583,584,Jawad El Yamiq\f6f6b6e8,4.0,bad
584,585,Maya Yoshida\caffaf5a,4.0,bad
585,586,Amin Younes\228f73ae,6.0,normal
586,587,Ashley Young\be927d03,6.0,normal
587,588,Mattia Zaccagni\d85c238b,8.0,normal
588,589,Luca Zanimacchia\5e834dce,3.0,bad
589,590,Nicolò Zaniolo\9907b1c8,25.0,normal
590,591,Cristián Zapata\b1deecf8,20.0,top
591,592,Duván Zapata\d3de9af0,20.0,top
592,593,Davide Zappacosta\7fe90ccd,25.0,top
593,594,Simone Zaza\9592289a,10.0,bad
594,595,Marvin Zeegelaar\8abd0c03,2.0,bad
595,596,Piotr Zieliński\a5296e55,20.0,normal
596,597,Jaromír Zmrhal\cbec1196,1.0,bad
597,598,Ervin Zukanović\1253a12e,7.0,bad
598,599,Szymon Żurkowski\4e1d5e59,1.0,bad
599,600,Filip Đuričić\eccbe56a,4.0,bad
