,Pos.,Giocatore,Price,Overall
119,120,Omar Colley\8b95acda,4.0,bad
120,121,Simone Colombi\72be9309,6.0,normal
121,122,Lorenzo Colombo\04df29a5,3.0,bad
122,123,Andrea Consigli\8cabdc1e,6.0,bad
123,124,Andrea Conti\8fef5412,4.0,bad
124,125,Gabriele Corbo\091795f2,5.0,bad
125,126,Andreas Cornelius\c693347d,3.0,bad
126,127,Joaquín Correa\45b9b619,15.0,normal
127,128,Angelo da Costa Júnior\18736214,3.0,bad
128,129,Douglas Costa\4fa7cb9b,39.0,top
129,130,Alessio Cragno\f554e29b,21.0,top
130,131,Domenico Criscito\35dd6d80,14.0,top
131,132,Bryan Cristante\16657b95,4.0,normal
132,133,Sebastián Cristóforo\3c05c659,4.0,bad
133,134,Juan Cuadrado\0ab1f153,44.0,top
134,135,Jaume Cuéllar\934e264d,4.0,bad
135,136,Felipe Curcio\8913a9f9,4.0,bad
136,137,Patrick Cutrone\a4fe8cda,37.0,top
137,138,Lennart-Marten Czyborra\7ba1f1ef,3.0,bad
138,139,Marco D'Alessandro\060606ec,2.0,bad
139,140,Danilo D'Ambrosio\44eb9093,22.0,normal
140,141,Felice D'Amico\0c35d28d,1.0,bad
141,142,Jacopo Da Riva\9591723b,23.0,normal
142,143,Bryan Dabo\c53083ad,14.0,normal
143,144,Felipe dal Belo\8cea6319,1.0,bad
144,145,Christian Dalle Mura\f32df091,2.0,bad
145,146,Danilo\94b2001f,4.0,bad
146,147,Andrea Danzi\263b855a,5.0,bad
147,148,Matteo Darmian\96e0490d,23.0,normal
148,149,Paweł Dawidowicz\16bb656a,2.0,bad
149,150,Sebastien De Maio\952a03fe,2.0,bad
150,151,Rodrigo De Paul\162efffd,26.0,top
151,152,Mattia De Sciglio\ae4e2852,26.0,top
152,153,Lorenzo De Silvestri\e74f0e59,15.0,normal
153,154,Grégoire Defrel\854ee61a,20.0,normal
154,155,Alessandro Deiola\7f267d66,11.0,normal
155,156,Alessandro Deiola\7f267d66,11.0,normal
156,157,Cristian Dell'Orco\b0243215,1.0,bad
157,158,Merih Demiral\e3cceee6,19.0,normal
158,159,Diego Demme\dc3fa3b5,7.0,normal
159,160,Stefano Denswil\5832ebfe,1.0,bad
160,161,Fabio Depaoli\d97f2e8d,1.0,bad
161,162,Kastriot Dermaku\2990c466,1.0,bad
162,163,Daniele Dessena\02b2937c,6.0,bad
163,164,Mattia Destro\d7d32194,1.0,bad
164,165,Mattia Destro\d7d32194,1.0,bad
165,166,Samuel Di Carmine\ef94dc2f,1.0,bad
166,167,Federico Di Francesco\1fca9171,6.0,normal
167,168,Giovanni Di Lorenzo\230a2fac,23.0,top
168,169,Amad Diallo\9dc96f10,16.0,normal
169,170,Amadou Diawara\bf309d24,27.0,normal
170,171,Mitchell Dijks\0a3065c8,2.0,bad
171,172,Federico Dimarco\970b8574,9.0,bad
172,173,Federico Dimarco\970b8574,9.0,bad
173,174,Koffi Djidji\933d3b51,7.0,bad
174,175,Berat Djimsiti\6eee05f1,1.0,bad
175,176,Nicolás Domínguez\20b3a502,1.0,bad
176,177,Giulio Donati\22051fbe,1.0,bad
177,178,Alfredo Donnarumma\5592007b,1.0,bad
178,179,Gianluigi Donnarumma\08f5afaa,56.0,top
179,180,Bartłomiej Drągowski\085e71a7,29.0,top
180,181,Léo Duarte\73ddc40c,3.0,bad
181,182,Edgaras Dubickas\c59f90b0,3.0,bad
182,183,Alfred Duncan\528492ea,9.0,normal
183,184,Alfred Duncan\528492ea,9.0,normal
184,185,Paulo Dybala\e0921a4f,75.0,top
185,186,Edin Džeko\3bb7f478,25.0,top
186,187,Blerim Džemaili\756959aa,9.0,top
187,188,Simone Edera\8697c095,1.0,bad
188,189,Albin Ekdal\f503ea63,1.0,bad
189,190,Elif Elmas\cf007308,9.0,bad
190,191,Alan Empereur\825b8997,1.0,bad
191,192,Christian Eriksen\980522ec,37.0,top
192,193,Sebastiano Esposito\7ff93107,20.0,normal
193,194,Valentin Eysseric\ae82fa48,1.0,bad
194,195,Valentin Eysseric\ae82fa48,1.0,bad
195,196,Luca Falbo\ca8fa0c0,1.0,bad
196,197,Filippo Falco\e23f56c1,1.0,bad
197,198,Wladimiro Falcone\9f5a610b,1.0,bad
198,199,Iago Falque\440c84ed,1.0,normal
199,200,Iago Falque\440c84ed,1.0,normal
200,201,Andri Fannar Baldursson\61f2f56a,1.0,bad
201,202,Paolo Faragò\9085dd7c,1.0,bad
202,203,Davide Faraoni\aae9d04a,1.0,bad
203,204,Mohamed Fares\b7a5bc86,4.0,bad
204,205,Diego Farias\157d29b6,15.0,normal
205,206,Andrea Favilli\44510fde,17.0,normal
206,207,Federico Fazio\4e358a2d,1.0,normal
207,208,Luiz Felipe\15d0c248,30.0,top
208,209,Lucas Felippe\85e51909,3.0,bad
209,210,Alex Ferrari\d0dbca9f,3.0,bad
210,211,Sergio Floccari\df301450,3.0,bad
211,212,Alessandro Florenzi\e288d4b3,36.0,top
212,213,Seko Fofana\5313ed43,3.0,normal
213,214,Gianluca Frabotta\d80b1835,15.0,normal
214,215,Remo Freuler\98d2c2c4,3.0,bad
215,216,Daniel Fuzato\82328faf,3.0,bad
