Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,R - Rig,Rigori,Rig T,Amm.,Esp.,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Partite
131,Domenico Criscito\35dd6d80,it ITA,Dif,Genoa,32,1986,26,24,2.053,22.8,8,0,1,7,9,7,0,035,000,035,004,004,7.2,0.3,1.4,18,031,006,038,001,008,Partite
132,Bryan Cristante\16657b95,it ITA,Cen,Roma,24,1995,26,18,1.616,18.0,1,3,1,0,0,7,1,006,017,022,006,022,1.2,1.2,1.7,28,007,009,016,007,016,Partite
133,Sebastián Cristóforo\3c05c659,uy URU,Cen,Fiorentina,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.2,02,000,015,015,000,015,Partite
134,Juan Cuadrado\0ab1f153,co COL,Dif,Juventus,31,1988,33,28,2.654,29.5,2,5,2,0,0,7,1,007,017,024,007,024,1.5,1.5,4.5,59,005,015,020,005,020,Partite
135,Jaume Cuéllar\934e264d,bo BOL,AttCen,SPAL,17,2001,2,1,70,0.8,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
136,Felipe Curcio\8913a9f9,br BRA,Dif,Brescia,26,1993,1,0,5,0.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
137,Patrick Cutrone\a4fe8cda,it ITA,Att,Fiorentina,21,1998,19,9,838,9.3,4,1,4,0,0,1,0,043,011,054,043,054,4.0,4.0,1.0,50,043,010,054,043,054,Partite
138,Lennart-Marten Czyborra\7ba1f1ef,de GER,Dif,Atalanta,20,1999,1,0,17,0.2,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
139,Marco D'Alessandro\060606ec,it ITA,CenDif,SPAL,28,1991,15,10,781,8.7,2,0,2,0,0,0,1,023,000,023,023,023,0.5,0.5,1.0,16,006,012,018,006,018,Partite
140,Danilo D'Ambrosio\44eb9093,it ITA,Dif,Inter,30,1988,22,15,1.402,15.6,4,0,4,0,0,6,0,026,000,026,026,026,1.8,1.8,1.4,32,012,009,021,012,021,Partite
141,Felice D'Amico\0c35d28d,it ITA,Cen,Sampdoria,18,2000,2,0,3,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,102,000,102,102,102,Partite
142,Jacopo Da Riva\9591723b,it ITA,Att,Atalanta,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,210,210,000,210,Partite
143,Bryan Dabo\c53083ad,bf BFA,Cen,SPAL,27,1992,16,13,1.122,12.5,1,4,1,0,0,4,0,008,032,040,008,040,0.7,0.7,0.8,15,005,006,012,005,012,Partite
144,Felipe dal Belo\8cea6319,br BRA,Dif,SPAL,35,1984,15,11,997,11.1,0,0,0,0,0,5,0,000,000,000,000,000,0.6,0.6,0.0,06,006,000,006,006,006,Partite
145,Christian Dalle Mura\f32df091,it ITA,Cen,Fiorentina,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
146,Danilo\94b2001f,br BRA,Dif,Juventus,28,1991,22,16,1.440,16.0,2,0,2,0,0,4,1,012,000,012,012,012,0.7,0.7,0.6,13,004,004,008,004,008,Partite
147,Andrea Danzi\263b855a,it ITA,Cen,Hellas Verona,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
148,Matteo Darmian\96e0490d,it ITA,Dif,Parma,29,1989,33,30,2.685,29.8,1,1,1,0,0,6,0,003,003,007,003,007,0.8,0.8,0.8,16,003,003,005,003,005,Partite
149,Paweł Dawidowicz\16bb656a,pl POL,DifCen,Hellas Verona,24,1995,15,7,693,7.7,1,0,1,0,0,4,2,013,000,013,013,013,0.4,0.4,0.0,04,005,000,005,005,005,Partite
150,Sebastien De Maio\952a03fe,fr FRA,Dif,Udinese,32,1987,21,17,1.500,16.7,0,0,0,0,0,1,0,000,000,000,000,000,0.9,0.9,0.0,09,005,000,005,005,005,Partite
151,Rodrigo De Paul\162efffd,ar ARG,Cen,Udinese,25,1994,34,33,2.822,31.4,7,6,7,0,0,5,1,022,019,041,022,041,5.4,5.4,7.0,124,017,022,040,017,040,Partite
152,Mattia De Sciglio\ae4e2852,it ITA,Dif,Juventus,26,1992,9,6,471,5.2,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.1,01,001,001,002,001,002,Partite
153,Lorenzo De Silvestri\e74f0e59,it ITA,Dif,Torino,31,1988,29,28,2.243,24.9,0,0,0,0,0,2,0,000,000,000,000,000,2.0,2.0,1.6,36,008,006,014,008,014,Partite
154,Grégoire Defrel\854ee61a,mq MTQ,AttCen,Sassuolo,28,1991,17,9,980,10.9,3,3,2,1,1,1,0,028,028,055,018,046,3.3,2.5,1.4,39,030,013,043,023,036,Partite
155,Alessandro Deiola\7f267d66,it ITA,Cen,Lecce,23,1995,10,8,717,8.0,1,1,1,0,0,3,0,013,013,025,013,025,0.4,0.4,0.3,07,005,003,009,005,009,Partite
156,Alessandro Deiola\7f267d66,it ITA,Cen,Cagliari,23,1995,1,0,1,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
157,Cristian Dell'Orco\b0243215,it ITA,Dif,Lecce,25,1994,14,11,1.007,11.2,0,1,0,0,0,2,1,000,009,009,000,009,0.0,0.0,0.5,05,000,004,004,000,004,Partite
158,Merih Demiral\e3cceee6,tr TUR,Dif,Juventus,21,1998,6,5,418,4.6,1,1,1,0,0,1,0,022,022,043,022,043,0.4,0.4,0.3,07,009,006,014,009,014,Partite
159,Diego Demme\dc3fa3b5,de GER,Cen,Napoli,27,1991,15,10,902,10.0,1,0,1,0,0,6,0,010,000,010,010,010,0.3,0.3,0.4,07,003,004,007,003,007,Partite
160,Stefano Denswil\5832ebfe,nl NED,Dif,Bologna,26,1993,26,25,2.240,24.9,0,1,0,0,0,7,1,000,004,004,000,004,1.1,1.1,0.5,16,004,002,006,004,006,Partite
161,Fabio Depaoli\d97f2e8d,it ITA,CenDif,Sampdoria,22,1997,29,21,1.854,20.6,0,1,0,0,0,7,0,000,005,005,000,005,1.5,1.5,2.2,37,007,011,018,007,018,Partite
162,Kastriot Dermaku\2990c466,al ALB,Dif,Parma,27,1992,16,10,1.026,11.4,0,0,0,0,0,2,0,000,000,000,000,000,0.8,0.8,0.0,08,007,000,007,007,007,Partite
163,Daniele Dessena\02b2937c,it ITA,Cen,Brescia,32,1987,24,22,1.869,20.8,2,0,2,0,0,7,1,010,000,010,010,010,1.3,1.3,0.2,15,006,001,007,006,007,Partite
164,Mattia Destro\d7d32194,it ITA,Att,Bologna,28,1991,5,2,185,2.1,0,0,0,0,0,2,0,000,000,000,000,000,0.4,0.4,0.9,13,021,043,065,021,065,Partite
165,Mattia Destro\d7d32194,it ITA,AttCen,Genoa,28,1991,8,1,150,1.7,0,0,0,0,0,0,0,000,000,000,000,000,0.4,0.4,0.0,04,027,000,027,027,027,Partite
166,Samuel Di Carmine\ef94dc2f,it ITA,Att,Hellas Verona,30,1988,22,17,1.293,14.4,8,0,7,1,2,3,0,056,000,056,049,049,6.3,4.8,0.6,54,044,004,048,033,038,Partite
167,Federico Di Francesco\1fca9171,it ITA,Att,SPAL,25,1994,20,13,1.082,12.0,2,0,2,0,0,4,0,017,000,017,017,017,2.4,2.4,1.0,34,020,008,028,020,028,Partite
168,Giovanni Di Lorenzo\230a2fac,it ITA,Dif,Napoli,25,1993,33,33,2.970,33.0,3,3,3,0,0,5,0,009,009,018,009,018,3.1,3.1,2.8,60,009,009,018,009,018,Partite
169,Amad Diallo\9dc96f10,ci CIV,Att,Atalanta,17,2002,3,0,27,0.3,1,0,1,0,0,0,0,333,000,333,333,333,0.1,0.1,0.1,02,036,017,053,036,053,Partite
170,Amadou Diawara\bf309d24,gn GUI,Cen,Roma,22,1997,22,19,1.518,16.9,1,1,0,1,1,4,0,006,006,012,000,006,1.0,0.3,0.5,07,006,003,009,001,004,Partite
171,Mitchell Dijks\0a3065c8,nl NED,Dif,Bologna,26,1993,13,12,1.006,11.2,0,0,0,0,0,4,0,000,000,000,000,000,0.0,0.0,0.8,08,000,007,007,000,007,Partite
172,Federico Dimarco\970b8574,it ITA,DifCen,Inter,21,1997,3,0,27,0.3,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,014,000,014,014,014,Partite
173,Federico Dimarco\970b8574,it ITA,Dif,Hellas Verona,21,1997,13,5,521,5.8,0,3,0,0,0,1,0,000,052,052,000,052,0.7,0.7,2.0,27,012,035,046,012,046,Partite
174,Koffi Djidji\933d3b51,ci CIV,Dif,Torino,26,1992,17,9,851,9.5,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.1,01,000,001,001,000,001,Partite
175,Berat Djimsiti\6eee05f1,al ALB,Dif,Atalanta,26,1993,34,32,2.783,30.9,2,1,2,0,0,5,0,006,003,010,006,010,1.8,1.8,0.5,23,006,002,007,006,007,Partite
176,Nicolás Domínguez\20b3a502,ar ARG,Cen,Bologna,21,1998,16,7,699,7.8,0,1,0,0,0,1,0,000,013,013,000,013,0.5,0.5,0.9,14,006,011,018,006,018,Partite
177,Giulio Donati\22051fbe,it ITA,Dif,Lecce,29,1990,20,20,1.760,19.6,1,0,1,0,0,4,0,005,000,005,005,005,0.5,0.5,1.7,22,003,009,011,003,011,Partite
178,Alfredo Donnarumma\5592007b,it ITA,Att,Brescia,28,1990,31,20,1.684,18.7,7,2,5,2,2,1,0,037,011,048,027,037,6.6,5.1,1.0,61,035,006,041,027,033,Partite
179,Gianluigi Donnarumma\08f5afaa,it ITA,Por,Milan,20,1999,36,36,3.201,35.6,0,0,0,0,0,3,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
180,Bartłomiej Drągowski\085e71a7,pl POL,Por,Fiorentina,21,1997,31,31,2.790,31.0,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
181,Léo Duarte\73ddc40c,br BRA,Dif,Milan,23,1996,6,4,405,4.5,0,0,0,0,0,2,0,000,000,000,000,000,0.3,0.3,0.0,03,008,000,008,008,008,Partite
182,Edgaras Dubickas\c59f90b0,lt LTU,Dif,Lecce,21,1998,1,0,3,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
183,Alfred Duncan\528492ea,gh GHA,Cen,Fiorentina,26,1993,13,10,887,9.9,1,1,1,0,0,2,0,010,010,020,010,020,0.8,0.8,0.6,13,008,006,014,008,014,Partite
184,Alfred Duncan\528492ea,gh GHA,Cen,Sassuolo,26,1993,13,10,843,9.4,1,5,1,0,0,3,0,011,053,064,011,064,1.4,1.4,0.9,23,015,010,025,015,025,Partite
185,Paulo Dybala\e0921a4f,ar ARG,AttCen,Juventus,25,1993,33,25,2.155,23.9,11,6,10,1,1,5,0,046,025,071,042,067,8.8,8.0,6.6,146,037,027,064,034,061,Partite
186,Edin Džeko\3bb7f478,ba BIH,Att,Roma,33,1986,35,31,2.854,31.7,16,7,16,0,0,4,0,050,022,073,050,073,18.1,18.1,4.9,230,057,016,073,057,073,Partite
187,Blerim Džemaili\756959aa,ch SUI,Cen,Bologna,33,1986,14,8,698,7.8,1,1,1,0,0,2,0,013,013,026,013,026,0.6,0.6,1.4,19,007,018,025,007,025,Partite
188,Simone Edera\8697c095,it ITA,CenAtt,Torino,22,1997,13,4,398,4.4,1,1,1,0,0,4,1,023,023,045,023,045,0.9,0.9,0.4,13,021,009,030,021,030,Partite
189,Albin Ekdal\f503ea63,se SWE,Cen,Sampdoria,30,1989,32,27,2.385,26.5,0,2,0,0,0,8,0,000,008,008,000,008,1.6,1.6,1.0,25,006,004,010,006,010,Partite
190,Elif Elmas\cf007308,mk MKD,Cen,Napoli,19,1999,26,12,1.134,12.6,1,1,1,0,0,7,0,008,008,016,008,016,1.9,1.9,0.9,27,015,007,022,015,022,Partite
191,Alan Empereur\825b8997,br BRA,Dif,Hellas Verona,25,1994,13,8,855,9.5,0,0,0,0,0,3,0,000,000,000,000,000,0.0,0.0,0.0,01,000,000,001,000,001,Partite
192,Christian Eriksen\980522ec,dk DEN,Cen,Inter,27,1992,17,8,703,7.8,1,2,1,0,0,0,0,013,026,038,013,038,2.4,2.4,3.1,56,031,040,071,031,071,Partite
193,Sebastiano Esposito\7ff93107,it ITA,Att,Inter,17,2002,7,2,199,2.2,1,0,0,1,1,2,0,045,000,045,000,000,1.7,1.0,0.1,11,078,005,083,044,049,Partite
194,Valentin Eysseric\ae82fa48,fr FRA,Cen,Fiorentina,27,1992,3,0,42,0.5,0,0,0,0,0,0,0,000,000,000,000,000,0.1,0.1,0.0,01,018,000,018,018,018,Partite
195,Valentin Eysseric\ae82fa48,fr FRA,AttCen,Hellas Verona,27,1992,6,3,353,3.9,0,0,0,0,0,3,0,000,000,000,000,000,0.5,0.5,0.8,13,013,019,033,013,033,Partite
196,Luca Falbo\ca8fa0c0,it ITA,Dif,Lazio,19,2000,1,0,2,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
197,Filippo Falco\e23f56c1,it ITA,AttCen,Lecce,27,1992,30,24,2.014,22.4,4,6,4,0,0,0,0,018,027,045,018,045,3.1,3.1,4.4,75,014,020,033,014,033,Partite
198,Wladimiro Falcone\9f5a610b,it ITA,Por,Sampdoria,24,1995,2,2,180,2.0,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
199,Iago Falque\440c84ed,es ESP,Cen,Genoa,29,1990,10,6,519,5.8,2,1,0,2,3,0,0,035,017,052,000,017,3.1,0.8,0.9,17,053,015,068,014,030,Partite
200,Iago Falque\440c84ed,es ESP,CenAtt,Torino,29,1990,4,1,102,1.1,0,0,0,0,0,0,0,000,000,000,000,000,0.2,0.2,0.1,03,015,010,026,015,026,Partite
201,Andri Fannar Baldursson\61f2f56a,is ISL,Cen,Bologna,17,2002,7,0,143,1.6,0,0,0,0,0,0,0,000,000,000,000,000,0.1,0.1,0.1,02,008,006,015,008,015,Partite
202,Paolo Faragò\9085dd7c,it ITA,Dif,Cagliari,26,1993,21,14,1.343,14.9,1,1,1,0,0,3,0,007,007,013,007,013,1.5,1.5,0.7,22,010,005,015,010,015,Partite
203,Davide Faraoni\aae9d04a,it ITA,Dif,Hellas Verona,27,1991,36,36,3.228,35.9,5,3,5,0,0,6,0,014,008,022,014,022,4.5,4.5,2.2,67,013,006,019,013,019,Partite
204,Mohamed Fares\b7a5bc86,dz ALG,DifCen,SPAL,23,1996,8,5,421,4.7,0,0,0,0,0,2,0,000,000,000,000,000,0.1,0.1,0.7,08,002,015,017,002,017,Partite
205,Diego Farias\157d29b6,br BRA,AttCen,Lecce,29,1990,18,7,824,9.2,2,0,2,0,0,3,1,022,000,022,022,022,1.7,1.7,1.7,34,019,019,037,019,037,Partite
206,Andrea Favilli\44510fde,it ITA,Att,Genoa,22,1997,20,7,658,7.3,0,0,0,0,0,4,0,000,000,000,000,000,1.6,1.6,0.8,24,022,011,033,022,033,Partite
207,Federico Fazio\4e358a2d,ar ARG,Dif,Roma,32,1987,16,14,1.213,13.5,1,0,1,0,0,2,1,007,000,007,007,007,0.3,0.3,0.4,07,002,003,005,002,005,Partite
208,Luiz Felipe\15d0c248,it ITA,Dif,Lazio,22,1997,26,24,2.024,22.5,1,1,1,0,0,6,0,004,004,009,004,009,0.5,0.5,0.3,08,002,002,004,002,004,Partite
209,Lucas Felippe\85e51909,br BRA,CenDif,Hellas Verona,19,2000,2,0,28,0.3,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,012,000,012,012,012,Partite
210,Alex Ferrari\d0dbca9f,it ITA,Dif,Sampdoria,25,1994,12,11,1.005,11.2,0,0,0,0,0,4,0,000,000,000,000,000,0.3,0.3,0.0,03,003,000,003,003,003,Partite
211,Sergio Floccari\df301450,it ITA,Att,SPAL,37,1981,24,9,942,10.5,1,0,1,0,0,3,0,010,000,010,010,010,1.2,1.2,0.9,20,011,008,019,011,019,Partite
212,Alessandro Florenzi\e288d4b3,it ITA,DifAtt,Roma,28,1991,14,12,997,11.1,0,1,0,0,0,5,0,000,009,009,000,009,0.6,0.6,2.0,25,005,018,023,005,023,Partite
213,Seko Fofana\5313ed43,ci CIV,Cen,Udinese,24,1995,32,24,2.249,25.0,3,7,3,0,0,4,0,012,028,040,012,040,2.7,2.7,4.4,72,011,018,029,011,029,Partite
214,Gianluca Frabotta\d80b1835,it ITA,Dif,Juventus,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,004,000,004,004,004,Partite
215,Remo Freuler\98d2c2c4,ch SUI,Cen,Atalanta,27,1992,31,28,2.337,26.0,2,2,2,0,0,3,0,008,008,015,008,015,1.9,1.9,2.6,46,007,010,018,007,018,Partite
216,Daniel Fuzato\82328faf,br BRA,Por,Roma,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
217,Matteo Gabbia\c235e803,it ITA,Dif,Milan,19,1999,9,6,680,7.6,0,0,0,0,0,1,0,000,000,000,000,000,0.2,0.2,0.0,02,002,000,002,002,002,Partite
218,Manolo Gabbiadini\8f866fe8,it ITA,Att,Sampdoria,27,1991,33,24,2.035,22.6,11,1,10,1,1,2,0,049,004,053,044,049,8.0,7.3,2.8,101,036,012,048,032,045,Partite
219,Gabriel\f93ed0df,br BRA,Por,Lecce,26,1992,34,34,2.997,33.3,0,0,0,0,0,4,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
220,Luca Gagliano\1d00a56c,it ITA,Att,Cagliari,19,2000,2,1,52,0.6,1,1,1,0,0,0,0,173,173,346,173,346,0.4,0.4,0.0,04,062,006,068,062,068,Partite
221,Roberto Gagliardini\ce30bfc8,it ITA,Cen,Inter,25,1994,24,21,1.797,20.0,4,2,4,0,0,5,0,020,010,030,020,030,4.8,4.5,1.2,57,024,006,030,022,028,Partite
222,Riccardo Gagliolo\173061c0,se SWE,Dif,Parma,29,1990,32,31,2.604,28.9,3,2,3,0,0,7,0,010,007,017,010,017,2.6,2.6,2.3,49,009,008,017,009,017,Partite
223,Daniele Gastaldello\13f89eaa,it ITA,Dif,Brescia,36,1983,8,4,389,4.3,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.0,00,001,000,001,001,001,Partite
224,Gervinho\e468c053,ci CIV,Att,Parma,32,1987,31,27,2.270,25.2,7,4,7,0,1,3,0,028,016,044,028,044,8.8,8.1,2.3,104,035,009,044,032,041,Partite
225,Rachid Ghezzal\dc3a9a0d,dz ALG,CenAtt,Fiorentina,27,1992,19,9,828,9.2,1,0,1,0,0,5,0,011,000,011,011,011,0.6,0.6,1.6,22,006,017,023,006,023,Partite
226,Andrea Ghezzi\c840baa2,it ITA,CenAtt,Brescia,18,2001,5,0,37,0.4,0,0,0,0,0,0,0,000,000,000,000,000,0.1,0.1,0.0,01,029,000,029,029,029,Partite
227,Paolo Ghiglione\71dc23da,it ITA,Dif,Genoa,22,1997,25,20,1.717,19.1,0,5,0,0,0,4,0,000,026,026,000,026,1.0,1.0,2.0,30,005,011,016,005,016,Partite
228,Andrea Ghion\7f24b3eb,it ITA,CenAtt,Sassuolo,19,2000,3,0,48,0.5,0,0,0,0,0,0,0,000,000,000,000,000,0.1,0.1,0.1,02,011,018,029,011,029,Partite
229,Faouzi Ghoulam\c5adc293,dz ALG,Dif,Napoli,28,1991,9,3,376,4.2,0,1,0,0,0,2,0,000,024,024,000,024,0.2,0.2,1.0,11,004,024,027,004,027,Partite
230,Diego Godín\fc4f85b1,uy URU,Dif,Inter,33,1986,23,18,1.628,18.1,1,1,1,0,0,5,0,006,006,011,006,011,1.0,1.0,0.9,18,005,005,010,005,010,Partite
231,Edoardo Goldaniga\4b029b31,it ITA,Dif,Genoa,25,1993,13,8,784,8.7,1,0,1,0,0,4,0,011,000,011,011,011,1.1,1.1,0.2,13,012,003,015,012,015,Partite
232,Pierluigi Gollini\f0f7f62f,it ITA,Por,Atalanta,24,1995,33,33,2.884,32.0,0,0,0,0,0,3,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
233,Papu Gómez\6e4df551,ar ARG,CenAtt,Atalanta,31,1988,36,34,2.842,31.6,7,16,7,0,0,2,0,022,051,073,022,073,8.6,8.6,10.3,190,027,033,060,027,060,Partite
234,Robin Gosens\2d970560,de GER,Dif,Atalanta,25,1994,34,31,2.617,29.1,9,7,9,0,0,3,0,031,024,055,031,055,5.9,5.9,3.5,94,020,012,032,020,032,Partite
235,Alberto Grassi\6cc97b6a,it ITA,Cen,Parma,24,1995,16,6,641,7.1,1,1,1,0,0,6,0,014,014,028,014,028,0.4,0.4,0.2,06,006,003,009,006,009,Partite
236,Sinan Gümüş\ac1f056e,tr TUR,AttCen,Genoa,25,1994,3,1,96,1.1,0,0,0,0,0,0,0,000,000,000,000,000,0.2,0.2,0.0,02,020,000,020,020,020,Partite
237,Koray Günter\f1f1f238,de GER,Dif,Hellas Verona,24,1994,32,31,2.733,30.4,0,0,0,0,0,7,0,000,000,000,000,000,0.5,0.5,0.2,07,002,001,002,002,002,Partite
238,Samir Handanović\74419746,si SVN,Por,Inter,35,1984,35,35,3.150,35.0,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.3,03,000,001,001,000,001,Partite
239,Lukáš Haraslín\5c397195,sk SVK,Att,Sassuolo,23,1996,11,4,384,4.3,1,0,1,0,0,1,0,023,000,023,023,023,0.9,0.9,0.4,13,021,010,031,021,031,Partite
240,Hans Hateboer\3b333ac3,nl NED,Dif,Atalanta,25,1994,32,25,2.356,26.2,0,4,0,0,0,10,0,000,015,015,000,015,1.6,1.6,3.5,51,006,014,020,006,020,Partite
241,Liam Henderson\d7918b13,sct SCO,Cen,Hellas Verona,23,1996,4,2,196,2.2,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.3,03,002,012,014,002,014,Partite
242,Dalbert Henrique\f45f9427,br BRA,Dif,Fiorentina,25,1993,31,29,2.484,27.6,0,5,0,0,0,8,1,000,018,018,000,018,0.6,0.6,3.7,43,002,013,016,002,016,Partite
243,Theo Hernández\d4c9725f,fr FRA,Dif,Milan,21,1997,33,32,2.817,31.3,6,3,6,0,0,10,0,019,010,029,019,029,4.5,4.5,4.7,92,014,015,029,014,029,Partite
244,Hernani\6f5ead86,br BRA,Cen,Parma,25,1994,32,27,2.419,26.9,0,4,0,0,0,10,0,000,015,015,000,015,1.2,1.2,1.8,30,005,007,011,005,011,Partite
245,Gonzalo Higuaín\8a08491a,ar ARG,Att,Juventus,31,1987,32,20,1.866,20.7,8,4,8,0,0,2,0,039,019,058,039,058,9.5,9.5,4.3,138,046,021,066,046,066,Partite
246,Krisztofer Horváth\4ce8f4a3,hu HUN,AttDif,SPAL,17,2002,3,0,44,0.5,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,003,006,009,003,009,Partite
247,Elseid Hysaj\2f3452eb,al ALB,Dif,Napoli,25,1994,20,17,1.481,16.5,1,2,1,0,0,3,0,006,012,018,006,018,0.3,0.3,1.4,17,002,008,010,002,010,Partite
248,Simone Iacoponi\63071a3f,it ITA,Dif,Parma,32,1987,36,34,3.053,33.9,2,0,2,0,0,7,0,006,000,006,006,006,0.9,0.9,0.3,12,003,001,003,003,003,Partite
249,Roger Ibanez\82efe6fa,br BRA,Dif,Roma,20,1998,9,7,614,6.8,0,0,0,0,0,1,0,000,000,000,000,000,0.3,0.3,0.0,04,005,001,006,005,006,Partite
250,Zlatan Ibrahimović\4cde5509,se SWE,Att,Milan,37,1981,18,16,1.362,15.1,10,5,8,2,3,1,0,066,033,099,053,086,9.7,7.5,3.4,109,064,022,086,049,072,Partite
251,Igor\a4e85758,br BRA,Dif,SPAL,21,1998,17,15,1.337,14.9,0,1,0,0,0,7,0,000,007,007,000,007,0.1,0.1,0.9,10,001,006,007,001,007,Partite
252,Igor\a4e85758,br BRA,Dif,Fiorentina,21,1998,9,6,611,6.8,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.0,01,000,000,001,000,001,Partite
253,Josip Iličić\68252d6d,si SVN,Att,Atalanta,31,1988,26,21,1.663,18.5,15,5,15,0,0,1,1,081,027,108,081,108,9.2,9.2,6.9,161,050,037,087,050,087,Partite
254,Giannelli Imbula\b86fe156,cd COD,Cen,Lecce,26,1992,3,1,130,1.4,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
255,Ciro Immobile\4431aed2,it ITA,Att,Lazio,29,1990,37,36,3.170,35.2,36,9,22,14,15,8,0,102,026,128,062,088,27.0,15.5,6.5,220,077,018,095,044,062,Partite
256,Roberto Inglese\6c1f7328,it ITA,Att,Parma,27,1991,17,8,766,8.5,4,0,4,0,1,1,0,047,000,047,047,047,4.3,3.6,0.3,38,051,003,054,042,045,Partite
257,Lorenzo Insigne\2f557579,it ITA,AttCen,Napoli,28,1991,37,34,2.810,31.2,8,6,3,5,5,1,0,026,019,045,010,029,12.9,9.1,7.1,161,041,023,064,029,052,Partite
258,Artur Ioniță\cedb3e36,md MDA,Cen,Cagliari,28,1990,34,21,1.897,21.1,0,2,0,0,0,6,0,000,009,009,000,009,0.9,0.9,0.7,16,004,003,008,004,008,Partite
259,Jakub Iskra\103b7264,pl POL,Dif,SPAL,16,2002,2,0,78,0.9,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,003,000,003,003,003,Partite
260,Armando Izzo\89976232,it ITA,Dif,Torino,27,1992,31,30,2.686,29.8,1,0,1,0,0,7,2,003,000,003,003,003,1.3,1.3,1.0,23,004,003,008,004,008,Partite
261,Filip Jagiełło\4cdcbc14,pl POL,Cen,Genoa,21,1997,11,6,553,6.1,0,2,0,0,0,0,0,000,033,033,000,033,0.3,0.3,0.8,10,004,012,017,004,017,Partite
262,Mato Jajalo\8c65eb5f,ba BIH,Cen,Udinese,31,1988,26,19,1.649,18.3,0,0,0,0,0,8,1,000,000,000,000,000,0.3,0.3,0.6,10,002,004,005,002,005,Partite
263,Marko Janković\9866afec,me MNE,CenDif,SPAL,24,1995,6,1,115,1.3,0,0,0,0,0,1,0,000,000,000,000,000,0.1,0.1,0.3,03,007,020,027,007,027,Partite
264,Jakub Jankto\1ea5f91c,cz CZE,Cen,Sampdoria,23,1996,30,25,2.095,23.3,2,4,2,0,0,8,0,009,017,026,009,026,2.8,2.8,4.5,73,012,019,031,012,031,Partite
265,Juan Jesus\79083382,br BRA,Dif,Roma,28,1991,4,1,139,1.5,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
266,Jony\244f57b9,es ESP,Dif,Lazio,28,1991,24,14,1.177,13.1,0,1,0,0,0,4,0,000,008,008,000,008,0.4,0.4,1.1,15,003,009,012,003,012,Partite
267,Jesse Joronen\7f66ea09,fi FIN,Por,Brescia,26,1993,29,29,2.610,29.0,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.1,01,000,000,000,000,000,Partite
