Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,R - Rig,Rigori,Rig T,Amm.,Esp.,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Partite
31,Antonín Barák\01efac19,cz CZE,Cen,Udinese,24,1994,8,1,194,2.2,0,0,0,0,0,1,0,000,000,000,000,000,0.1,0.1,0.2,03,006,008,014,006,014,Partite
32,Antonín Barák\01efac19,cz CZE,Cen,Lecce,24,1994,16,15,1.369,15.2,2,1,2,0,0,0,0,013,007,020,013,020,3.2,3.2,1.3,46,021,009,030,021,030,Partite
33,Nicolò Barella\6928979a,it ITA,Cen,Inter,22,1997,27,23,2.013,22.4,1,4,1,0,0,11,0,004,018,022,004,022,1.6,1.6,1.6,32,007,007,014,007,014,Partite
34,Antonino Barillà\a64cbd35,it ITA,Cen,Parma,31,1988,26,20,1.688,18.8,1,2,1,0,0,6,0,005,011,016,005,016,1.2,1.2,2.1,33,006,011,017,006,017,Partite
35,Antonio Barreca\6a189491,it ITA,DifCen,Genoa,24,1995,18,11,1.095,12.2,0,1,0,0,0,0,0,000,008,008,000,008,0.2,0.2,0.4,06,001,003,005,001,005,Partite
36,Édgar Barreto\43a1bea5,py PAR,Cen,Sampdoria,35,1984,2,1,90,1.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,003,000,003,003,003,Partite
37,Musa Barrow\e5bf73f3,gm GAM,AttCen,Atalanta,20,1998,7,1,190,2.1,0,2,0,0,1,0,0,000,095,095,000,095,1.8,1.0,0.6,16,086,028,114,050,078,Partite
38,Musa Barrow\e5bf73f3,gm GAM,Att,Bologna,20,1998,18,14,1.354,15.0,9,2,8,1,1,1,0,060,013,073,053,066,5.9,5.2,3.2,84,039,021,061,034,056,Partite
39,Daniele Baselli\ea06dd97,it ITA,Cen,Torino,27,1992,16,16,1.278,14.2,0,2,0,0,0,3,0,000,014,014,000,014,0.7,0.7,1.0,17,005,007,012,005,012,Partite
40,Alessandro Bastoni\75b86fb3,it ITA,Dif,Inter,20,1999,25,21,1.921,21.3,2,0,2,0,0,9,1,009,000,009,009,009,1.2,1.2,1.6,28,006,007,013,006,013,Partite
41,Bastos\c01c66d9,ao ANG,Dif,Lazio,28,1991,16,6,765,8.5,1,0,1,0,0,4,0,012,000,012,012,012,0.8,0.8,0.0,08,009,000,009,009,009,Partite
42,Rodrigo Becão\19e4eab9,br BRA,Dif,Udinese,23,1996,29,24,2.213,24.6,1,1,1,0,0,8,0,004,004,008,004,008,0.5,0.5,0.3,09,002,001,004,002,004,Partite
43,Asmir Begović\7b4de647,ba BIH,Por,Milan,32,1987,2,1,129,1.4,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
44,Valon Behrami\d3d758d8,ch SUI,Cen,Genoa,34,1985,17,13,1.107,12.3,0,0,0,0,0,4,1,000,000,000,000,000,0.2,0.2,0.0,02,002,000,002,002,002,Partite
45,Raoul Bellanova\e3756e72,it ITA,Dif,Atalanta,19,2000,1,0,18,0.2,0,0,0,0,0,0,0,000,000,000,000,000,0.1,0.1,0.0,01,043,000,043,043,043,Partite
46,Andrea Belotti\d705ba44,it ITA,Att,Torino,25,1993,36,34,3.008,33.4,16,3,9,7,8,4,0,048,009,057,027,036,16.9,10.9,4.1,150,050,012,063,033,045,Partite
47,Marco Benassi\0000acda,it ITA,Cen,Fiorentina,24,1994,18,10,980,10.9,1,1,1,0,0,1,0,009,009,018,009,018,1.0,1.0,1.1,21,009,010,019,009,019,Partite
48,Ismaël Bennacer\db092d3b,dz ALG,Cen,Milan,21,1997,31,28,2.485,27.6,1,0,1,0,0,14,0,004,000,004,004,004,0.8,0.8,1.3,21,003,005,008,003,008,Partite
49,Rodrigo Bentancur\3b8674e6,uy URU,Cen,Juventus,22,1997,30,25,2.196,24.4,0,7,0,0,0,9,0,000,029,029,000,029,0.7,0.7,3.7,44,003,015,018,003,018,Partite
50,Romario Benzar\2e3596d1,ro ROU,Dif,Lecce,27,1992,3,1,97,1.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.1,01,000,010,010,000,010,Partite
51,Domenico Berardi\53a0e358,it ITA,Att,Sassuolo,24,1994,31,29,2.493,27.7,14,10,12,2,3,6,1,051,036,087,043,079,9.8,7.6,7.0,146,036,025,061,027,053,Partite
52,Álex Berenguer\dc1c2fce,es ESP,CenAtt,Torino,24,1995,29,21,1.823,20.3,6,2,6,0,0,4,0,030,010,039,030,039,4.3,4.3,3.1,74,021,015,037,021,037,Partite
53,Bartosz Bereszyński\61b3978f,pl POL,Dif,Sampdoria,27,1992,28,27,2.402,26.7,0,0,0,0,0,10,0,000,000,000,000,000,0.4,0.4,0.7,11,002,002,004,002,004,Partite
54,Etrit Berisha\ee833569,al ALB,Por,SPAL,30,1989,26,26,2.340,26.0,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.1,01,000,000,000,000,000,Partite
55,Valon Berisha\d5575935,xk KVX,CenAtt,Lazio,26,1993,3,0,33,0.4,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
56,Federico Bernardeschi\ee93c1a9,it ITA,CenAtt,Juventus,25,1994,29,19,1.571,17.5,1,1,1,0,0,6,0,006,006,011,006,011,4.6,4.6,3.4,80,026,019,046,026,046,Partite
57,Andrea Bertolacci\c75b6a02,it ITA,Cen,Sampdoria,28,1991,12,8,534,5.9,0,0,0,0,0,3,0,000,000,000,000,000,0.1,0.1,0.1,02,002,002,004,002,004,Partite
58,Lucas Biglia\5710a281,ar ARG,Cen,Milan,33,1986,14,8,685,7.6,0,1,0,0,0,4,0,000,013,013,000,013,0.2,0.2,0.4,07,003,006,009,003,009,Partite
59,Cristiano Biraghi\9e1577aa,it ITA,DifCen,Inter,26,1992,26,18,1.576,17.5,2,6,2,0,0,3,0,011,034,046,011,046,1.0,1.0,3.5,45,005,020,025,005,025,Partite
